"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758647,-36.2228494299791,2.65984835140405e-287,1.18790439403009e-284,"55573","55573","55573"
"ENSG00000033867",3157.52042924196,1.93501315031031,0.0535351847027378,36.1446992488167,4.50689778432437e-286,1.95360763368743e-283,"9497","9497","9497"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729393,-36.1399178936198,5.35778353376085e-286,2.21230320941733e-283,"1063","1063","1063"
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522484,36.1396808426041,5.40391610388274e-286,2.21230320941733e-283,"25878","25878","25878"
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.0487932042517418,-35.788710820065,1.65485249265358e-280,6.5916800099266e-278,"7052","7052","7052"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.065615529209468,35.3236809713161,2.54305707417534e-273,9.86304609452532e-271,"94241","94241","94241"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274729,-35.2491412924544,3.53646850175055e-272,1.33642237894358e-269,"10979","10979","10979"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896397,-35.1930555341825,2.55367981537951e-271,9.40903327976579e-269,"142","142","142"
"ENSG00000196549",1520.30148791169,2.83743506770559,0.0806594353569988,35.177968394486,4.34407225856573e-271,1.5615350474815e-268,"4311","4311","4311"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695775,35.1424932628333,1.51368681107636e-270,5.31159910039129e-268,"4013","4013","4013"
"ENSG00000088325",1049.74978195443,-3.01204014087112,0.0861136723498937,-34.9774903180615,4.9484710986291e-268,1.69605969887432e-265,"22974","22974","22974"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.23760619414889e-267,4.14541820212871e-265,"10313","10313","10313"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470117,34.836676955408,6.77554401242539e-266,2.21906594789168e-263,"63895","63895","63895"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841851,34.8299159163024,8.57647267094975e-266,2.74782726574907e-263,"6840","6840","6840"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182906,34.2452170379726,5.13836406752342e-257,1.61125977930128e-254,"5069","5069","5069"
"ENSG00000198901",744.768135087352,-3.1765209895984,0.0928701287754388,-34.2039042206915,2.11545038713144e-256,6.49531412615482e-254,"9055","9055","9055"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807049,-33.899747931138,6.71887893067193e-252,2.0208742383723e-249,"4082","4082","4082"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486004967,33.7243085224998,2.54545118026638e-249,7.50297189895319e-247,"1281","1281","1281"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.0611321276797668,33.6829252261058,1.02810293769993e-248,2.97101590114149e-246,"27242","27242","27242"
"ENSG00000145632",3262.15452178144,1.54674961547203,0.046024381959226,33.6071784047492,1.31769411189743e-247,3.73464919637391e-245,"10769","10769","10769"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240172,-33.5341112503023,1.53477286002641e-246,4.26782687001306e-244,"8720","8720","8720"
"ENSG00000102024",3591.26703399212,-1.7035465919333,0.0509601087578506,-33.4290219047238,5.19390786215829e-245,1.4175521124535e-242,"5358","5358","5358"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001158026,-33.3239077682217,1.73984876225187e-243,4.66216201055784e-241,"301","301","301"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505324,-33.283941096153,6.59322840061904e-243,1.7351964315772e-240,"5205","5205","5205"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.0547035645119086,33.0977814365317,3.19851269739342e-240,8.27011932178672e-238,"57326","57326","57326"
"ENSG00000187678",2363.67043987816,1.72415483189413,0.0522701778398931,32.985440324602,1.31369113057084e-238,3.33813446247465e-236,"81848","81848","81848"
"ENSG00000163017",4893.9021785664,-1.87095249165045,0.0567964579545417,-32.9413586521172,5.62520534756987e-238,1.40515722733025e-235,"72","72","72"
"ENSG00000152894",4900.8667898464,1.68614754696904,0.0515037594735046,32.7383391854425,4.44954348189566e-235,1.09295619726964e-232,"5796","5796","5796"
"ENSG00000143341",2279.33849385387,2.05720946158247,0.0629925114453734,32.6580003619394,6.16939827404585e-234,1.49056707808013e-231,"83872","83872","83872"
"ENSG00000115461",200904.539632615,1.27117471085652,0.0389873664647874,32.604785245103,3.50828510136557e-233,8.33953319740738e-231,"3488","3488","3488"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469497e-233,2.28548149971769e-230,"8989","8989","8989"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.042897482122208,32.3715649486086,6.89943142188364e-230,1.58880969212064e-227,"5159","5159","5159"
"ENSG00000164924",9585.69435022083,-1.33707455466228,0.0417126480701049,-32.0544155435808,1.90535970723024e-225,4.32018328694757e-223,"7534","7534","7534"
"ENSG00000173334",1074.47707273372,2.41256199115946,0.0759164041352483,31.7791921079583,1.25506730586084e-221,2.80260332632987e-219,"10221","10221","10221"
"ENSG00000160014",4226.55595021453,-1.42461130954275,0.0449230268066079,-31.7122734333029,1.05241788807797e-220,2.31500519917808e-218,"808","808","808"
"ENSG00000148175",3890.72249473237,1.38275935255239,0.0437425179473112,31.6113341764631,2.57952646027888e-219,5.59074426052796e-217,"2040","2040","2040"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704448,31.575546091126,7.99970833041763e-219,1.70869132425645e-216,"7857","7857","7857"
"ENSG00000153234",635.93920101828,4.32640777580259,0.137032426265834,31.5721460511079,8.90724412994786e-219,1.87535662838817e-216,"4929","4929","4929"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.0474102568555336,31.4114289631432,1.41265544505375e-216,2.93235435904257e-214,"4982","4982","4982"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619644,-31.3751518190572,4.41710004920352e-216,9.04155840627243e-214,"891","891","891"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409630006,31.3716617369938,4.92877345981325e-216,9.95072099325037e-214,"8728","8728","8728"
"ENSG00000128591",23487.8410667789,-1.33084139992717,0.0432786266468052,-30.7505460094218,1.20240107717799e-207,2.39472798316882e-205,"2318","2318","2318"
"ENSG00000127920",2352.92723869813,2.10488854243809,0.0685910537341625,30.6875084700693,8.35466517488299e-207,1.64174740463234e-204,"2791","2791","2791"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019115,30.666629765198,1.58631168017461e-206,3.07619230821228e-204,"93145","93145","93145"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278218,-30.5292805152599,1.06537508793168e-204,2.03915559038143e-202,"7430","7430","7430"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887571,-30.4088241725162,4.19913010084907e-203,7.93420249055302e-201,"147372","147372","147372"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,"9518","9518","9518"
"ENSG00000171246",11339.2021259297,1.74021926020602,0.0574719541070868,30.2794517298557,2.13754238014261e-201,3.93788744981773e-199,"4884","4884","4884"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259666,-30.1352334724667,1.67481171931357e-199,3.04733026163498e-197,"88455","88455","88455"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.0526625745786303,-30.0569968334795,1.76884785991524e-198,3.17918045846716e-196,"84617","84617","84617"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.109401846260637,-30.0096634210006,7.34104325618781e-198,1.30352163264694e-195,"55771","55771","55771"
"ENSG00000089159",2841.04018824034,-1.52007282825454,0.0507616642849806,-29.945291386049,5.06700387106953e-197,8.89017893474081e-195,"5829","5829","5829"
"ENSG00000112984",587.875352632019,-3.36365680001687,0.112773759026447,-29.8265911241642,1.76651997411152e-195,3.06293780923007e-193,"10112","10112","10112"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.0515649231566275,29.8149196231919,2.50291232393536e-195,4.28929323606504e-193,"7035","7035","7035"
"ENSG00000116729",14027.992136521,1.67569487585242,0.0564166010544858,29.7021593738707,7.20107911138673e-194,1.21908423490929e-191,"79971","79971","79971"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201167,29.7017969567219,7.27910250183317e-194,1.21908423490929e-191,"8507","8507","8507"
"ENSG00000173546",2782.7113944163,-1.70836053260097,0.0575941295653189,-29.662060100474,2.37079357308619e-193,3.92592760451059e-191,"1464","1464","1464"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112514,29.6103808091002,1.09851400220088e-192,1.79887770715962e-190,"3624","3624","3624"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088416,-29.5795080992121,2.74196632628218e-192,4.44078018865348e-190,"22800","22800","22800"
"ENSG00000111615",1215.27891511062,1.9567704307585,0.0663760811211055,29.4800536233573,5.18784996122762e-191,8.31071007919268e-189,"11103","11103","11103"
"ENSG00000064666",5624.42477846777,-1.64273183329817,0.0557716982088948,-29.4545779679375,1.09998439746772e-190,1.74317957525584e-188,"1265","1265","1265"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.0460501458481012,-29.4445921079842,1.47655804382095e-190,2.31505451593969e-188,"4853","4853","4853"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559753,-29.4263407761985,2.52835481400456e-190,3.92240981566308e-188,"259266","259266","259266"
"ENSG00000116991",845.465812777274,2.42014865392116,0.0824494797375021,29.3531100696607,2.18081805459589e-189,3.3480100508994e-187,"57568","57568","57568"
"ENSG00000156011",1865.6956706154,1.74119412410088,0.0593370019851025,29.3441539991864,2.8373001101844e-189,4.31094113648429e-187,"23362","23362","23362"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517563,29.1497600192592,8.41273252802591e-187,1.26517195916373e-184,"3099","3099","3099"
"ENSG00000157557",2128.88768598769,1.84664194734666,0.0635784337831493,29.0450996897016,1.77448669770841e-185,2.64165504553804e-183,"2114","2114","2114"
"ENSG00000103257",3712.52147667185,-1.50764330929453,0.0520551632799627,-28.962416296461,1.95795248651582e-184,2.88563037462701e-182,"8140","8140","8140"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448289,-28.9326537792229,4.63889644336954e-184,6.76911443389904e-182,"10797","10797","10797"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.048637532733504,-28.8487364554754,5.25520470092253e-183,7.59325557668591e-181,"4008","4008","4008"
"ENSG00000135318",10396.875971113,-1.18098787420491,0.0409964043182893,-28.8071086682607,1.74737916514288e-182,2.50027904231803e-180,"4907","4907","4907"
"ENSG00000171444",1285.81453923875,1.85633936536552,0.0644924712570349,28.7838150590799,3.42011533495343e-182,4.8466980583215e-180,"4163","4163","4163"
"ENSG00000145147",601.510428483162,-2.6863081902841,0.0934361677954517,-28.7501965637643,9.00647321265268e-182,1.264165735315e-179,"9353","9353","9353"
"ENSG00000182481",2566.38058699848,-1.6137581642745,0.0561603398586692,-28.7348361554723,1.40128319748606e-181,1.94831243061789e-179,"3838","3838","3838"
"ENSG00000108829",3850.57518186778,-1.4751760959328,0.0513457658429172,-28.7302384474278,1.59943723059237e-181,2.20303793499723e-179,"55379","55379","55379"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.0824391278294158,28.7214673758132,2.05836700243253e-181,2.80890860017135e-179,"55608","55608","55608"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302053,28.6078863178843,5.36043432745472e-180,7.24789735027776e-178,"9120","9120","9120"
"ENSG00000100345",41759.3349472728,-1.22519578050119,0.042845376867922,-28.5957522156488,7.58767798348474e-180,1.01661089200544e-177,"4627","4627","4627"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791531,-28.4493217297181,4.96814084883786e-178,6.59643782253805e-176,"6241","6241","6241"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145486958,28.4446019542253,5.68297280039004e-178,7.47818331537039e-176,"1462","1462","1462"
"ENSG00000141429",3588.58297366052,1.50607086816905,0.0530931788051748,28.3665604897301,5.23016681887688e-177,6.82143350235465e-175,"2589","2589","2589"
"ENSG00000155903",1023.35613415789,2.05089158351226,0.0724505356556453,28.3074730221467,2.7963098808583e-176,3.61508903720085e-174,"5922","5922","5922"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840332,28.2741363319301,7.18932920200344e-176,9.21359424166319e-174,"114882","114882","114882"
"ENSG00000147065",17820.4971549208,-1.03012530642751,0.0365228229247453,-28.2049749700363,5.0811717731496e-175,6.45571634419645e-173,"4478","4478","4478"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709679,-28.2019640588108,5.53209469852191e-175,6.96854800571076e-173,"991","991","991"
"ENSG00000135926",1251.33626199858,-1.85342990574708,0.0659124213806067,-28.1195845475707,5.64500035843175e-174,7.05050976970908e-172,"64114","64114","64114"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.0552347199536806,28.0352704905676,6.04059391071537e-173,7.48119941648093e-171,"3728","3728","3728"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179009,-27.934865122544,1.00678481499792e-171,1.23649955028661e-169,"5806","5806","5806"
"ENSG00000185112",747.773002441521,2.65534841445794,0.0952230065994073,27.8855762833524,3.9915744620472e-171,4.86180367121088e-169,"131583","131583","131583"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045358,27.8775640361235,4.9921487129228e-171,6.03067932221772e-169,"6299","6299","6299"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462072,-27.8678971566102,6.53815283354364e-171,7.83408914315173e-169,"3799","3799","3799"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702898,27.8074527793941,3.52495005082633e-170,4.18957369750633e-168,"639","639","639"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550567,-27.7146638456008,4.64845066254968e-169,5.48070926917258e-167,"7468","7468","7468"
"ENSG00000172795",852.701537725169,2.13206737939772,0.0770835743691378,27.6591660006278,2.16519900477703e-168,2.53259547082571e-166,"167227","167227","167227"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895192,27.642011382302,3.48151090050225e-168,4.04019745288206e-166,"51334","51334","51334"
"ENSG00000166510",570.336073336896,2.83088461025262,0.102927884463348,27.5035732543466,1.59110643184672e-166,1.83200989004351e-164,"80323","80323","80323"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232823,-27.4669575015738,4.35860484891927e-166,4.97962157080405e-164,"4162","4162","4162"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.0634971545468501,-27.4390202305671,9.39453901878436e-166,1.06505166199111e-163,"5127","5127","5127"
"ENSG00000197565",563.648360733133,3.41302170307903,0.124605048110961,27.3907177503733,3.53780645398683e-165,3.98016729151587e-163,"1288","1288","1288"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626782,-27.3631999558222,7.52223196974461e-165,8.39868596743152e-163,"29127","29127","29127"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.0744625124097038,-27.3628785146617,7.58877530199619e-165,8.40927596998646e-163,"10923","10923","10923"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500919,-27.3585778356668,8.53774309058499e-165,9.39024310962997e-163,"5347","5347","5347"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525902,-27.3447361397133,1.24733546097216e-164,1.36172074250428e-162,"57724","57724","57724"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905129,27.2869764427244,6.054937831279e-164,6.56159365863161e-162,"55824","55824","55824"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268817e-164,6.76480532250352e-162,"55117","55117","55117"
"ENSG00000136378",1190.06353560081,2.13136943569511,0.0788327305720975,27.0366054838838,5.48949071174472e-161,5.86261696447056e-159,"11173","11173","11173"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045891,-27.0326997212269,6.10171879435644e-161,6.46957781231836e-159,"332","332","332"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.1119288253649,-27.0094864846759,1.14349478660127e-160,1.20377329749497e-158,"2305","2305","2305"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026632,-26.8589364660639,6.63278235149157e-159,6.93290399264417e-157,"79647","79647","79647"
"ENSG00000167553",3002.80270522025,-1.43654751200023,0.0535105857075576,-26.8460435071885,9.38123336956509e-159,9.73666319722889e-157,"84790","84790","84790"
"ENSG00000075426",1241.54577193998,-2.02417343922895,0.075406673593119,-26.8434256913523,1.00651912777361e-158,1.03734817518374e-156,"2355","2355","2355"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598338,26.8166716709331,2.06535898801488e-158,2.11383755315023e-156,"5924","5924","5924"
"ENSG00000205542",10772.7240037773,-1.36860141667853,0.05105988411907,-26.8038488588613,2.91410850477709e-158,2.9619400788555e-156,"7114","7114","7114"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093562,26.7820894066197,5.22457868913054e-158,5.27396169317849e-156,"1030","1030","1030"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.0775868059517111,-26.6672613337339,1.12888645634116e-156,1.1318046662283e-154,"8727","8727","8727"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328693,-26.6284944333386,3.17636687935104e-156,3.16306047755917e-154,"11078","11078","11078"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877148,-26.6096898008772,5.24358146541616e-156,5.18657071391298e-154,"5732","5732","5732"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.95768161788922e-154,"650","650","650"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560542,-26.5299995900892,4.37001752537202e-155,4.26525286681675e-153,"3939","3939","3939"
"ENSG00000157227",22662.7967620428,1.09975936182813,0.0415181804493283,26.4886213684233,1.31081166236412e-154,1.270969886837e-152,"4323","4323","4323"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870154,-26.4103059601965,1.04332687757399e-153,1.00500336743043e-151,"7083","7083","7083"
"ENSG00000091409",2615.20252718009,-1.34488157112989,0.0509516581236694,-26.395246409167,1.55363482857298e-153,1.48684870802003e-151,"3655","3655","3655"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431441,26.3897768217249,1.79527827126566e-153,1.70702007496215e-151,"26575","26575","26575"
"ENSG00000169439",2385.18491369971,1.32446365486612,0.0502228270275115,26.3717463403761,2.89070201975062e-153,2.73097220301825e-151,"6383","6383","6383"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.0652353704809711,26.3653073416662,3.42646730954324e-153,3.21651434446167e-151,"9766","9766","9766"
"ENSG00000139318",1424.14713666972,1.67884326172024,0.0638947453537294,26.2751381576991,3.69002687399172e-152,3.44200101701835e-150,"1848","1848","1848"
"ENSG00000071127",10996.1867655617,-1.00330193008526,0.0382024978411021,-26.262731150679,5.11421309907857e-152,4.74045739963648e-150,"9948","9948","9948"
"ENSG00000042062",529.580434708431,3.50771136339453,0.134086229283585,26.1601163828383,7.56113412241903e-151,6.96474966851323e-149,"140876","140876","140876"
"ENSG00000085117",3114.20548141785,1.42947650463429,0.0547746238047405,26.097422589885,3.8998582473509e-150,3.56994477325823e-148,"3732","3732","3732"
"ENSG00000101290",1758.73428502496,1.54280726947101,0.0591378479276276,26.0883228513673,4.94672752445683e-150,4.50030063305214e-148,"8760","8760","8760"
"ENSG00000109189",2091.9060865614,1.46011820343235,0.0559766931398546,26.0843955141174,5.48121227211061e-150,4.95595745192431e-148,"64854","64854","64854"
"ENSG00000117143",1623.79807423536,-1.69881909645385,0.0653660673343995,-25.9893116678267,6.54084648574601e-149,5.87798753091004e-147,"6675","6675","6675"
"ENSG00000109321",3907.19054249844,7.47916568575078,0.288067503948618,25.9632398074474,1.28882642605824e-148,1.15119538589372e-146,"374","374","374"
"ENSG00000113810",918.429735878976,-1.98566035842832,0.0766078877398277,-25.9197899460683,3.98507948368676e-148,3.53807839943226e-146,"10051","10051","10051"
"ENSG00000145386",450.26224000273,-3.10889812507266,0.120040919908221,-25.8986529547558,6.89649728898252e-148,6.08626209850445e-146,"890","890","890"
"ENSG00000151617",710.546799779895,2.15452232893399,0.0832907838824385,25.8674757098577,1.54742484471484e-147,1.35749686675044e-145,"1909","1909","1909"
"ENSG00000110047",3014.55720899113,-1.20897759514725,0.0467677329196833,-25.850677800087,2.39077662944124e-147,2.08492698016006e-145,"10938","10938","10938"
"ENSG00000151012",4009.60870282584,1.45380413992701,0.0563313182849247,25.8080972395079,7.19288029826836e-147,6.23580410799289e-145,"23657","23657","23657"
"ENSG00000196230",17874.1195224617,-1.0586818302789,0.0411586154533858,-25.7219981434485,6.63385195465631e-146,5.71752690688448e-144,"203068","203068","203068"
"ENSG00000100219",1292.73730450521,-1.75351824099341,0.0683097887133917,-25.6700873186808,2.52317345666558e-145,2.16200758164751e-143,"7494","7494","7494"
"ENSG00000130340",2836.38350867057,1.32523688102386,0.0516721528193019,25.6470227911392,4.56407588667167e-145,3.8881705443796e-143,"51429","51429","51429"
"ENSG00000182718",28278.3402998713,-0.988251215382312,0.0385656401946753,-25.6251733510379,7.998069228967e-145,6.77445656876527e-143,"302","302","302"
"ENSG00000158710",4951.47819637122,-1.05787565285402,0.0413543185472115,-25.5807782601063,2.49675089281868e-144,2.1026922661921e-142,"8407","8407","8407"
"ENSG00000164465",2941.35331768419,1.62321277603991,0.0634674454083277,25.5755177413668,2.85693568386317e-144,2.39235898345315e-142,"285761","285761","285761"
"ENSG00000171241",406.777106119105,-3.16899768726314,0.12422729755371,-25.5096725894163,1.53970462143749e-143,1.28204331699128e-141,"79801","79801","79801"
"ENSG00000091136",13741.7986166577,1.03363762592484,0.0405808196140988,25.4710879611146,4.12322866146259e-143,3.41394067486717e-141,"3912","3912","3912"
"ENSG00000178105",1002.41705891287,1.80811839027133,0.0710165913486629,25.460506565208,5.40062364884241e-143,4.44661404115304e-141,"1662","1662","1662"
"ENSG00000116017",1240.61918348325,1.61349394133614,0.0634210243025252,25.4409946714136,8.88061742476595e-143,7.27125220034448e-141,"1820","1820","1820"
"ENSG00000122729",2756.95550510449,-1.26418730730551,0.0499551214530809,-25.3064604895989,2.7118209639046e-141,2.20811145668652e-139,"48","48","48"
"ENSG00000127955",1237.15518256482,1.61939777137647,0.0642144753399915,25.2185782536161,2.50585474863406e-140,2.02919160908619e-138,"2770","2770","2770"
"ENSG00000166833",556.856531079937,-2.37829288221885,0.0943256734040093,-25.2136326875962,2.83923123292884e-140,2.28658961261777e-138,"89797","89797","89797"
"ENSG00000050405",2131.92988407929,-1.5595041545844,0.062049108488184,-25.1333853552687,2.1473466497851e-139,1.71997798502896e-137,"51474","51474","51474"
"ENSG00000128965",2124.44876634206,1.40556424648423,0.0559821200993368,25.1073779269192,4.1312562833803e-139,3.29115973537615e-137,"79094","79094","79094"
"ENSG00000119139",934.406871097792,-1.97322411635243,0.0786211036151945,-25.0978938938614,5.24372642239467e-139,4.15494838780928e-137,"9414","9414","9414"
"ENSG00000138764",921.332962951573,1.91563311381307,0.0764403453832904,25.0604978850845,1.34150959632092e-138,1.05728173425549e-136,"901","901","901"
"ENSG00000169826",1948.50883733891,1.75776345280772,0.0702045117680234,25.037756243016,2.37348380739413e-138,1.86065980603057e-136,"55454","55454","55454"
